Order in file, Clean Question, Tagged Elements, Full Question
"1","Who played a joke on shoppers?","[]","1.  Who played a joke on shoppers?"
"2","What does the Sears ad offer?","[]","2.  What does the Sears ad offer?"
"3","When did Sears play this joke?","[]","3.  When did Sears play this joke?"
"4","Where is the word ""miniature""?","[]","4.  Where is the word ""miniature""?"
"5","Why did Sears play this joke?","[]","5.  Why did Sears play this joke?"
"1","Who drilled the first oil well?","[]","1. Who drilled the first oil well?"
"2","What  use did rock oil have in the 1830's?","[]","2.  What  use did rock oil have in the 1830's?"
"3","When did this story take place?","[]","3.  When did this story take place?"
"4","Where did the men find oil?","[]","4. Where did the men find oil?"
"5","Why will this oil be useful?","[]","5.  Why will this oil be useful?"
"1","Who started the Pigeon Express?","[]","1. Who started the Pigeon Express?"
"2","What is the Pigeon Express?","[]","2. What is the Pigeon Express?"
"3","When did he start the Pigeon Express?","[]","3.  When did he start the Pigeon Express?"
"4","Where does Craig get his news?","[]","4.  Where does Craig get his news?"
"5","Why is this a fast way to get the news?","[]","5. Why is this a fast way to get the news?"
"1","Who almost died building the bridge?","[]","1. Who almost died building the bridge?"
"2","What is the name of the bridge?","[]","2. What is the name of the bridge?"
"3","When did the bridge open?","[]","3. When did the bridge open?"
"4","Where will President Arthur go after the bridge opens?","[]","4. Where will President Arthur go after the bridge opens?"
"5","Why did Roebling almost die?","[]","5. Why did Roebling almost die?"
"1","Who died in July of 1865?","[]","1. Who died in July of 1865?"
"2","What was Dr. Barry's secret?","[]","2. What was Dr. Barry's secret?"
"3","When did James Barry become a doctor?","[]","3. When did James Barry become a doctor?"
"4","Where did Dr. Barry treat wounded soldiers?","[]","4. Where did Dr. Barry treat wounded soldiers?"
"5","Why did Dr. Barry keep the secret?","[]","5. Why did Dr. Barry keep the secret?"
"1","Who had the idea for ""railroad time""?","[]","1. Who had the idea for ""railroad time""?"
"2","What will the railroads do to their clocks?","[]","2. What will the railroads do to their clocks?"
"3","When will they do this?","[]","3. When will they do this?"
"4","Where is the time four minutes earlier than in Chicago?","[]","4. Where is the time four minutes earlier than in Chicago?"
"5","Why does Allen want to have fixed times?","[]","5. Why does Allen want to have fixed times?"
"1","What is causing automatic garage doors to open and close on their own?","[]","1. What is causing automatic garage doors to open and close on their own?"
"2","What are these storms called?","[]","2.  What are these storms called?"
"3","When was the last time these storms happened?","[]","3.  When was the last time these storms happened?"
"4","Where is the sun (how far from Earth)?","[]","4.  Where is the sun (how far from Earth)?"
"5","Why are these storms not all bad?","[]","5.  Why are these storms not all bad?"
"1","Who is having a problem with pests?","[]","1. Who is having a problem with pests?"
"2","What are these mosquitoes doing?","[]","2.  What are these mosquitoes doing?"
"3","When will they die?","[]","3.  When will they die?"
"4","Where must the people stay to avoid the mosquitoes?","[]","4.  Where must the people stay to avoid the mosquitoes?"
"5","Why did this problem happen?","[]","5.  Why did this problem happen?"
"1","Who had a town named for him?","[]","1.  Who had a town named for him?"
"2","What is a company town?","[]","2.  What is a company town?"
"3","When was the first company town built?","[]","3. When was the first company town built?"
"4","Where is the newest company town?","[]","4.  Where is the newest company town?"
"5","Why can company towns be bad?","[]","5.  Why can company towns be bad?"
"1","Who is giving away free land?","[]","1. Who is giving away free land?"
"2","What is the name of the new law?","[]","2.  What is the name of the new law?"
"3","When will the land be totally yours?","[]","3.  When will the land be totally yours?"
"4","Where will many people live until they can afford lumber?","[]","4.  Where will many people live until they can afford lumber?"
"5","Why will you probably need to build a windmill?","[]","5.  Why will you probably need to build a windmill?"
"1","Who has made a safety brake?","[]","1. Who has made a safety brake?"
"2","What is the name of the invention that takes the place of stairs?","[]","2. What is the name of the invention that takes the place of stairs?"
"3","When did this story take place?","[]","3. When did this story take place?"
"4","Where do people stand in an elevator?","[]","4. Where do people stand in an elevator?"
"5","Why were some people afraid to ride the elevator?","[]","5. Why were some people afraid to ride the elevator?"
"1","Who has the world's tallest building named after him?","[]","1. Who has the world's tallest building named after him?"
"2","What is Woolworth's?","[]","2.  What is Woolworth's?"
"3","When did the Woolworth Building open?","[]","3.  When did the Woolworth Building open?"
"4","Where is the building located?","[]","4.  Where is the building located?"
"5","Why is the store also called the 5 and 10 cent store?","[]","5.  Why is the store also called the 5 and 10 cent store?"
"1","Who is the leader of the blacks who won't ride buses?","[]","1. Who is the leader of the blacks who won't ride buses?"
"2","What did the tired black woman do?","[]","2. What did the tired black woman do?"
"3","When did the woman refuse to move?","[]","3.  When did the woman refuse to move?"
"4","Where did black people have to sit on buses in the past?","[]","4.  Where did black people have to sit on buses in the past?"
"5","Why did the city change its mind?","[]","5.  Why did the city change its mind?"
"1","Who attacked U.S. ships?","[]","1.  Who attacked U.S. ships?"
"2","What damage was done?","[]","2.  What damage was done?"
"3","When were the bombs dropped?","[]","3.  When were the bombs dropped?"
"4","Where did this attack take place?","[]","4.  Where did this attack take place?"
"5","Why were the Japanese visiting with President Roosevelt?","[]","5.  Why were the Japanese visiting with President Roosevelt?"
"1","Who is Millie?","[]","1. Who is Millie?"
"2","What is she going to do?","[]","2.  What is she going to do?"
"3","When was Millie born?","[]","3.  When was Millie born?"
"4","Where does Millie live?","[]","4.  Where does Millie live?"
"5","Why will Mrs. Bush help?","[]","5.  Why will Mrs. Bush help?"
"1","Who is Dr. Florence Sabin?","[]","1.  Who is Dr. Florence Sabin?"
"2","What disease was cut in half because of her work?","[]","2.  What disease was cut in half because of her work?"
"3","When will Dr. Sabin stop working?","[]","3.  When will Dr. Sabin stop working?"
"4","Where did she go in 1929?","[]","4.  Where did she go in 1929?"
"5","Why does Dr. Sabin get angry when she sees garbage lying around?","[]","5.  Why does Dr. Sabin get angry when she sees garbage lying around?"
"1","Who were the characters in Pac Man?","[]","1.  Who were the characters in Pac Man?"
"2","What video game could be played on TV screens at home?","[]","2.  What video game could be played on TV screens at home?"
"3","When was the first video game sold?","[]","3. When was the first video game sold?"
"4","Where are the video games being displayed?","[]","4.  Where are the video games being displayed?"
"5","Why did some video game players have to see a doctor?","[]","5.  Why did some video game players have to see a doctor?"
"1","Who uses the moon to mark the time?","[]","1. Who uses the moon to mark the time?"
"2","What animal stands for the year 4,687?","[]","2.  What animal stands for the year 4,687?"
"3","When is the Chinese New Year?","[]","3.  When is the Chinese New Year?"
"4","Where do they name years after animals?","[]","4. Where do they name years after animals?"
"5","Why does the Chinese New Year date change?","[]","5. Why does the Chinese New Year date change?"
"1","Who had a dream to build a family park?","[]","1. Who had a dream to build a family park?"
"2","What are the names of the boats in Adventure Land?","[]","2.  What are the names of the boats in Adventure Land?"
"3","When did Disneyland open?","[]","3.  When did Disneyland open?"
"4","Where would you see ghosts at Disneyland?","[]","4.  Where would you see ghosts at Disneyland?"
"5","Why is the Matterhorn one of the best rides?","[]","5.  Why is the Matterhorn one of the best rides?"
"1","Who went to bed on October 5, 1582, and woke up on October 15, 1582?","[]","1. Who went to bed on October 5, 1582, and woke up on October 15, 1582?"
"2","What is a leap year?","[]","2. What is a leap year?"
"3","Where does this happen?","[]","3. Where does this happen?"
"4","When was the first leap year?","[]","4.  When was the first leap year?"
"5","Why did 10 days have to be added to the calendar?","[]","5.  Why did 10 days have to be added to the calendar?"
"1","Who traveled 4,000 miles to share an idea?","[]","1. Who traveled 4,000 miles to share an idea?"
"2","What is another name for Native Americans?","[]","2.  What is another name for Native Americans?"
"3","When was the first Native American Day held?","[]","3.  When was the first Native American Day held?"
"4","Where did Redfox go with his idea?","[]","4.  Where did Redfox go with his idea?"
"5","Why is it a good idea to have Native American Day?","[]","5.  Why is it a good idea to have Native American Day?"
"1","Who has special days set aside for them in September and June?","[]","1. Who has special days set aside for them in September and June?"
"2","What happens in towns everywhere on National Kids Day?","[]","2.  What happens in towns everywhere on National Kids Day?"
"3","When are the two days for kids?","[]","3.  When are the two days for kids?"
"4","Where will you find many kids on the second Sunday in June?","[]","4.  Where will you find many kids on the second Sunday in June?"
"5","Why do adults honor kids with their own day?","[]","5.  Why do adults honor kids with their own day?"
"1","Who causes Snow White a lot of trouble?","[]","1. Who causes Snow White a lot of trouble?"
"2","What is a long cartoon movie called?","[]","2.  What is a long cartoon movie called?"
"3","When did this movie start playing?","[]","3.  When did this movie start playing?"
"4","Where would you go to see ""Snow White and the Seven, Dwarfs""?","[]","4.  Where would you go to see ""Snow White and the Seven, Dwarfs""?"
"5","Why is it so hard to make a cartoon?","[]","5.  Why is it so hard to make a cartoon?"
"1","Who became parents of quints on September 14?","['<COREF ID=""120"" REF=""118"">September 14</COREF>']","1.  Who became parents of quints on <COREF ID=""120"" REF=""118"">September 14</COREF>?"
"2","What does ""quint"" mean?","[]","2.  What does ""quint"" mean?"
"3","When were the Dionne quints born?","['<COREF ID=""21"" REF=""17"">quints</COREF>']","3.  When were the Dionne <COREF ID=""21"" REF=""17"">quints</COREF> born?"
"4","Where do the Dionne quints live?","['<COREF ID=""22"" REF=""17"">quints</COREF>']","4.  Where do the Dionne <COREF ID=""22"" REF=""17"">quints</COREF> live?"
"5","Why do so few quints live?","[]","5.  Why do so few quints live?"
"1","Who are stockholders?","[]","1. Who are stockholders?"
"2","What is the stock market?","['<COREF ID=""270"" REF=""265"">stock market</COREF>']","2. What is the <COREF ID=""270"" REF=""265"">stock market</COREF>?"
"3","When did the stock market crash?","['<COREF ID=""271"" REF=""265"">stock market</COREF>']","3.  When did the <COREF ID=""271"" REF=""265"">stock market</COREF> crash?"
"4","Where is the stock market?","['<COREF ID=""272"" REF=""265"">stock market</COREF>']","4.  Where is the <COREF ID=""272"" REF=""265"">stock market</COREF>?"
"5","Why did the stock market crash?","['<COREF ID=""273"" REF=""265"">stock market</COREF>']","5.  Why did the <COREF ID=""273"" REF=""265"">stock market</COREF> crash?"
"1","Who received a surprise?","['<COREF ID=""314"">surprise</COREF>']","1. Who received a <COREF ID=""314"">surprise</COREF>?"
"2","What did they hear?","['<COREF ID=""311"" REF=""293"">they</COREF>']","2. What did <COREF ID=""311"" REF=""293"">they</COREF> hear?"
"3","When did the surprise happen?","['<COREF ID=""315"" REF=""314"">surprise</COREF>']","3. When did the <COREF ID=""315"" REF=""314"">surprise</COREF> happen?"
"4","What is this method of sending voices and music called?","[]","4. What is this method of sending voices and music called?"
"5","Why were the sounds a surprise?","[]","5. Why were the sounds a surprise?"
"1","Who has a spacecraft named for him?","['<COREF ID=""356"" REF=""355"">him</COREF>']","1. Who has a spacecraft named for <COREF ID=""356"" REF=""355"">him</COREF>?"
"2","What planet will Voyager 2 pass this year?","['<COREF ID=""341"" REF=""319"">Voyager 2</COREF>', '<COREF ID=""357"" REF=""316"">year</COREF>']","2. What planet will <COREF ID=""341"" REF=""319"">Voyager 2</COREF> pass this <COREF ID=""357"" REF=""316"">year</COREF>?"
"3","When will a huge telescope be sent into outer space?","['<COREF ID=""347"">telescope</COREF>']","3.  When will a huge <COREF ID=""347"">telescope</COREF> be sent into outer space?"
"4","Where will Voyager 2 go after Neptune?","['<COREF ID=""342"" REF=""319"">Voyager 2</COREF>', '<COREF ID=""343"" REF=""318"">Neptune</COREF>']","4.  Where will <COREF ID=""342"" REF=""319"">Voyager 2</COREF> go after <COREF ID=""343"" REF=""318"">Neptune</COREF>?"
"5","Why will the huge telescope take great photos?","['<COREF ID=""348"" REF=""347"">telescope</COREF>']","5. Why will the huge <COREF ID=""348"" REF=""347"">telescope</COREF> take great photos?"
"1","Who is the youngest person to have her own art show in Washington, D.C.?","['<COREF ID=""398"">person</COREF>', '<COREF ID=""399"" REF=""398"">her</COREF>', '<COREF ID=""408"" REF=""360"">Washington</COREF>', '<COREF ID=""409"" REF=""361"">D.C.</COREF>']","1. Who is the youngest <COREF ID=""398"">person</COREF> to have <COREF ID=""399"" REF=""398"">her</COREF> own art show in <COREF ID=""408"" REF=""360"">Washington</COREF>, <COREF ID=""409"" REF=""361"">D.C.</COREF>?"
"2","What does Wang like to paint?","['<COREF ID=""400"" REF=""359"">Wang</COREF>']","2.  What does <COREF ID=""400"" REF=""359"">Wang</COREF> like to paint?"
"3","When did Wang begin to paint?","['<COREF ID=""401"" REF=""359"">Wang</COREF>']","3.  When did <COREF ID=""401"" REF=""359"">Wang</COREF> begin to paint?"
"4","Where does Wang live?","['<COREF ID=""402"" REF=""359"">Wang</COREF>']","4.  Where does <COREF ID=""402"" REF=""359"">Wang</COREF> live?"
"5","Why did Wang once get upset?","['<COREF ID=""403"" REF=""359"">Wang</COREF>']","5.  Why did <COREF ID=""403"" REF=""359"">Wang</COREF> once get upset?"
"1","Who is the first woman mayor of El Paso, Texas?","['<COREF ID=""420"" REF=""413"">El Paso</COREF>', '<COREF ID=""426"" REF=""412"">Texas</COREF>']","1. Who is the first woman mayor of <COREF ID=""420"" REF=""413"">El Paso</COREF>, <COREF ID=""426"" REF=""412"">Texas</COREF>?"
"2","What other cities in Texas have women mayors?","['<COREF ID=""427"" REF=""412"">Texas</COREF>']","2.  What other cities in <COREF ID=""427"" REF=""412"">Texas</COREF> have women mayors?"
"3","When was Suzie Azar elected mayor?","['<COREF ID=""435"" REF=""414"">Suzie Azar</COREF>']","3.  When was <COREF ID=""435"" REF=""414"">Suzie Azar</COREF> elected mayor?"
"4","Where did she serve for four years before becoming mayor?","['<COREF ID=""436"" REF=""414"">she</COREF>']","4.  Where did <COREF ID=""436"" REF=""414"">she</COREF> serve for four years before becoming mayor?"
"5","Why have Texas women always been strong?","['<COREF ID=""428"" REF=""412"">Texas</COREF>']","5.  Why have <COREF ID=""428"" REF=""412"">Texas</COREF> women always been strong?"
"1","Who is the new queen of tennis?","[]","1. Who is the new queen of tennis?"
"2","What is the name of the tournament she won?","['<COREF ID=""479"" REF=""446"">she</COREF>']","2. What is the name of the tournament <COREF ID=""479"" REF=""446"">she</COREF> won?"
"3","When did Chris start playing tennis?","['<COREF ID=""480"" REF=""446"">Chris</COREF>']","3.  When did <COREF ID=""480"" REF=""446"">Chris</COREF> start playing tennis?"
"4","Where does she live?","['<COREF ID=""481"" REF=""446"">she</COREF>']","4.  Where does <COREF ID=""481"" REF=""446"">she</COREF> live?"
"5","Why do the crowds like to cheer for her?","['<COREF ID=""482"" REF=""446"">her</COREF>']","5.  Why do the crowds like to cheer for <COREF ID=""482"" REF=""446"">her</COREF>?"
"1","Who gave 6,457 books to the new library?","['<COREF ID=""35"" REF=""31"">library</COREF>']","1. Who gave 6,457 books to the new <COREF ID=""35"" REF=""31"">library</COREF>?"
"2","What is the name of our national library?","[]","2. What is the name of our national library?"
"3","When did this library burn down?","['<COREF ID=""36"" REF=""31"">library</COREF>']","3. When did this <COREF ID=""36"" REF=""31"">library</COREF> burn down?"
"4","Where can this library be found?","['<COREF ID=""38"" REF=""31"">library</COREF>']","4. Where can this <COREF ID=""38"" REF=""31"">library</COREF> be found?"
"5","Why were some early people called ""men of the written tablets""?","[]","5. Why were some early people called ""men of the written tablets""?"
"1","Who was a famous woman doctor?","[]","1. Who was a famous woman doctor?"
"2","What was she the first woman to do?","['<COREF ID=""57"" REF=""43"">she</COREF>']","2. What was <COREF ID=""57"" REF=""43"">she</COREF> the first woman to do?"
"3","When did she die?","['<COREF ID=""58"" REF=""43"">she</COREF>']","3.  When did <COREF ID=""58"" REF=""43"">she</COREF> die?"
"4","Where was her first job?","['<COREF ID=""59"" REF=""43"">her</COREF>']","4.  Where was <COREF ID=""59"" REF=""43"">her</COREF> first job?"
"5","Why did she work without pay?","['<COREF ID=""60"" REF=""43"">she</COREF>']","5. Why did <COREF ID=""60"" REF=""43"">she</COREF> work without pay?"
"1","Who was the 16th President of the United States?","['<COREF ID=""112"">United States</COREF>']","1. Who was the 16th President of the <COREF ID=""112"">United States</COREF>?"
"2","What happened to him on April 14, 1865?","['<COREF ID=""101"" REF=""77"">him</COREF>']","2. What happened to <COREF ID=""101"" REF=""77"">him</COREF> on April 14, 1865?"
"3","When was he born?","['<COREF ID=""102"" REF=""77"">he</COREF>']","3.  When was <COREF ID=""102"" REF=""77"">he</COREF> born?"
"4","Where was he born?","['<COREF ID=""103"" REF=""77"">he</COREF>']","4.  Where was <COREF ID=""103"" REF=""77"">he</COREF> born?"
"5","Why will Lincoln be remembered?","['<COREF ID=""104"" REF=""77"">Lincoln</COREF>']","5.  Why will <COREF ID=""104"" REF=""77"">Lincoln</COREF> be remembered?"
"1","Who is Chuck Yeager?","['<COREF ID=""154"" REF=""150"">Chuck Yeager</COREF>']","1. Who is <COREF ID=""154"" REF=""150"">Chuck Yeager</COREF>?"
"2","What did Jackie Cochran do?","['<COREF ID=""146"" REF=""128"">Jackie Cochran</COREF>']","2. What did <COREF ID=""146"" REF=""128"">Jackie Cochran</COREF> do?"
"3","When did Jackie pull her plane out of its steep dive?","['<COREF ID=""147"" REF=""128"">Jackie</COREF>']","3.  When did <COREF ID=""147"" REF=""128"">Jackie</COREF> pull her plane out of its steep dive?"
"4","Where did Yeager fly to coach Jackie?","['<COREF ID=""155"" REF=""150"">Yeager</COREF>', '<COREF ID=""148"" REF=""128"">Jackie</COREF>']","4.  Where did <COREF ID=""155"" REF=""150"">Yeager</COREF> fly to coach <COREF ID=""148"" REF=""128"">Jackie</COREF>?"
"5","How high did she take her plane?","['<COREF ID=""149"" REF=""128"">she</COREF>']","5.  How high did <COREF ID=""149"" REF=""128"">she</COREF> take her plane?"
"1","Who built a new kind of store?","[]","1. Who built a new kind of store?"
"2","What kind of store is Stewart's?","['<COREF ID=""178"" REF=""164"">Stewart\'s</COREF>']","2.  What kind of store is <COREF ID=""178"" REF=""164"">Stewart's</COREF>?"
"3","When is a great time to shop at Stewart's?","['<COREF ID=""179"" REF=""164"">Stewart\'s</COREF>']","3.  When is a great time to shop at <COREF ID=""179"" REF=""164"">Stewart's</COREF>?"
"4","Where was this store built?","['<COREF ID=""182"" REF=""164"">store</COREF>']","4.  Where was this <COREF ID=""182"" REF=""164"">store</COREF> built?"
"5","Why is this a new kind of store?","['<COREF ID=""183"" REF=""164"">this</COREF>']","5.  Why is <COREF ID=""183"" REF=""164"">this</COREF> a new kind of store?"
"1","Who have become partners?","[]","1. Who have become partners?"
"2","What do they make?","['<COREF ID=""207"" REF=""201"">they</COREF>']","2. What do <COREF ID=""207"" REF=""201"">they</COREF> make?"
"3","When do they think they can sell 1/2 million sewing machines a year?","['<COREF ID=""208"" REF=""201"">they</COREF>']","3. When do <COREF ID=""208"" REF=""201"">they</COREF> think they can sell 1/2 million sewing machines a year?"
"4","Where did Howe take Singer when Howe got angry?","['<COREF ID=""199"" REF=""187"">Howe</COREF>', '<COREF ID=""198"" REF=""186"">Singer</COREF>', '<COREF ID=""200"" REF=""187"">Howe</COREF>']","4. Where did <COREF ID=""199"" REF=""187"">Howe</COREF> take <COREF ID=""198"" REF=""186"">Singer</COREF> when <COREF ID=""200"" REF=""187"">Howe</COREF> got angry?"
"5","Why is the sewing machine useful?","[]","5. Why is the sewing machine useful?"
"1","Who developed the first assembly line?","[]","1. Who developed the first assembly line?"
"2","What was another name for an automobile or car?","[]","2. What was another name for an automobile or car?"
"3","When did Ford make his first auto?","['<COREF ID=""228"" REF=""215"">Ford</COREF>']","3.  When did <COREF ID=""228"" REF=""215"">Ford</COREF> make his first auto?"
"4","Where are the parts when they move past the workers?","['<COREF ID=""239"" REF=""238"">parts</COREF>']","4.  Where are the <COREF ID=""239"" REF=""238"">parts</COREF> when they move past the workers?"
"5","Why does Ford think his company will make millions of cars a year?","['<COREF ID=""229"" REF=""215"">Ford</COREF>', '<COREF ID=""240"" REF=""229"">his</COREF>']","5.  Why does <COREF ID=""229"" REF=""215"">Ford</COREF> think <COREF ID=""240"" REF=""229"">his</COREF> company will make millions of cars a year?"
"1","Who arranged for free mail delivery to all homes?","[]","1. Who arranged for free mail delivery to all homes?"
"2","What does ""RFD"" mean?","[]","2. What does ""RFD"" mean?"
"3","When were special stamps printed to honor Columbus?","[]","3. When were special stamps printed to honor Columbus?"
"4","Where has the post office delivered mail for free in the past?","['<COREF ID=""259"" REF=""255"">office</COREF>']","4. Where has the post <COREF ID=""259"" REF=""255"">office</COREF> delivered mail for free in the past?"
"5","Why will free mail delivery make life easier for farmers?","[]","5. Why will free mail delivery make life easier for farmers?"
"1","Who became parents of quints on September 14?","['<TIMEX TYPE=""DATE"">September 14</TIMEX>']","1.  Who became parents of quints on <TIMEX TYPE=""DATE"">September 14</TIMEX>?"
"2","What does ""quint"" mean?","[]","2.  What does ""quint"" mean?"
"3","When were the Dionne quints born?","['<ENAMEX TYPE=""PERSON"">Dionne</ENAMEX>']","3.  When were the <ENAMEX TYPE=""PERSON"">Dionne</ENAMEX> quints born?"
"4","Where do the Dionne quints live?","['<ENAMEX TYPE=""PERSON"">Dionne</ENAMEX>']","4.  Where do the <ENAMEX TYPE=""PERSON"">Dionne</ENAMEX> quints live?"
"5","Why do so few quints live?","[]","5.  Why do so few quints live?"
"1","Who are stockholders?","[]","1. Who are stockholders?"
"2","What is the stock market?","[]","2. What is the stock market?"
"3","When did the stock market crash?","[]","3.  When did the stock market crash?"
"4","Where is the stock market?","[]","4.  Where is the stock market?"
"5","Why did the stock market crash?","[]","5.  Why did the stock market crash?"
"1","Who received a surprise?","[]","1. Who received a surprise?"
"2","What did they hear?","[]","2. What did they hear?"
"3","When did the surprise happen?","[]","3. When did the surprise happen?"
"4","What is this method of sending voices and music called?","[]","4. What is this method of sending voices and music called?"
"5","Why were the sounds a surprise?","[]","5. Why were the sounds a surprise?"
"1","Who has a spacecraft named for him?","[]","1. Who has a spacecraft named for him?"
"2","What planet will Voyager 2 pass this year?","[]","2. What planet will Voyager 2 pass this year?"
"3","When will a huge telescope be sent into outer space?","[]","3.  When will a huge telescope be sent into outer space?"
"4","Where will Voyager 2 go after Neptune?","['<ENAMEX TYPE=""LOCATION"">Neptune</ENAMEX>']","4.  Where will Voyager 2 go after <ENAMEX TYPE=""LOCATION"">Neptune</ENAMEX>?"
"5","Why will the huge telescope take great photos?","[]","5. Why will the huge telescope take great photos?"
"1","Who is the youngest person to have her own art show in Washington, D.C.?","['<ENAMEX TYPE=""LOCATION"">Washington</ENAMEX>', '<ENAMEX TYPE=""LOCATION"">D.C.</ENAMEX>']","1. Who is the youngest person to have her own art show in <ENAMEX TYPE=""LOCATION"">Washington</ENAMEX>, <ENAMEX TYPE=""LOCATION"">D.C.</ENAMEX>?"
"2","What does Wang like to paint?","['<ENAMEX TYPE=""PERSON"">Wang</ENAMEX>']","2.  What does <ENAMEX TYPE=""PERSON"">Wang</ENAMEX> like to paint?"
"3","When did Wang begin to paint?","['<ENAMEX TYPE=""PERSON"">Wang</ENAMEX>']","3.  When did <ENAMEX TYPE=""PERSON"">Wang</ENAMEX> begin to paint?"
"4","Where does Wang live?","['<ENAMEX TYPE=""PERSON"">Wang</ENAMEX>']","4.  Where does <ENAMEX TYPE=""PERSON"">Wang</ENAMEX> live?"
"5","Why did Wang once get upset?","['<ENAMEX TYPE=""PERSON"">Wang</ENAMEX>']","5.  Why did <ENAMEX TYPE=""PERSON"">Wang</ENAMEX> once get upset?"
"1","Who is the first woman mayor of El Paso, Texas?","['<ENAMEX TYPE=""LOCATION"">El Paso</ENAMEX>', '<ENAMEX TYPE=""LOCATION"">Texas</ENAMEX>']","1. Who is the first woman mayor of <ENAMEX TYPE=""LOCATION"">El Paso</ENAMEX>, <ENAMEX TYPE=""LOCATION"">Texas</ENAMEX>?"
"2","What other cities in Texas have women mayors?","['<ENAMEX TYPE=""LOCATION"">Texas</ENAMEX>']","2.  What other cities in <ENAMEX TYPE=""LOCATION"">Texas</ENAMEX> have women mayors?"
"3","When was Suzie Azar elected mayor?","['<ENAMEX TYPE=""PERSON"">Suzie Azar</ENAMEX>']","3.  When was <ENAMEX TYPE=""PERSON"">Suzie Azar</ENAMEX> elected mayor?"
"4","Where did she serve for four years before becoming mayor?","[]","4.  Where did she serve for four years before becoming mayor?"
"5","Why have Texas women always been strong?","['<ENAMEX TYPE=""LOCATION"">Texas</ENAMEX>']","5.  Why have <ENAMEX TYPE=""LOCATION"">Texas</ENAMEX> women always been strong?"
"1","Who is the new queen of tennis?","[]","1. Who is the new queen of tennis?"
"2","What is the name of the tournament she won?","[]","2. What is the name of the tournament she won?"
"3","When did Chris start playing tennis?","['<ENAMEX TYPE=""PERSON"">Chris</ENAMEX>']","3.  When did <ENAMEX TYPE=""PERSON"">Chris</ENAMEX> start playing tennis?"
"4","Where does she live?","[]","4.  Where does she live?"
"5","Why do the crowds like to cheer for her?","[]","5.  Why do the crowds like to cheer for her?"
"1","Who makes Coke?","[]","1. Who makes Coke?"
"2","What is the old Coke called now?","[]","2. What is the old Coke called now?"
"3","When did Coca-Cola stop selling old Coke?","['<ENAMEX TYPE=""ORGANIZATION"">Coca-Cola</ENAMEX>']","3. When did <ENAMEX TYPE=""ORGANIZATION"">Coca-Cola</ENAMEX> stop selling old Coke?"
"4","Where can you find Coke?","[]","4. Where can you find Coke?"
"5","Why did Coca-Cola bring back the old Coke?","['<ENAMEX TYPE=""ORGANIZATION"">Coca-Cola</ENAMEX>']","5. Why did <ENAMEX TYPE=""ORGANIZATION"">Coca-Cola</ENAMEX> bring back the old Coke?"
"1","Who will have a smooth train ride?","[]","1. Who will have a smooth train ride?"
"2","What is the Orient Express?","[]","2.  What is the Orient Express?"
"3","When will the guests reach Romania?","['<ENAMEX TYPE=""LOCATION"">Romania</ENAMEX>']","3.  When will the guests reach <ENAMEX TYPE=""LOCATION"">Romania</ENAMEX>?"
"4","Where will the second train take guests?","[]","4.  Where will the second train take guests?"
"5","Why is the train ride smooth?","[]","5.  Why is the train ride smooth?"
"1","Who found the Titanic?","[]","1. Who found the Titanic?"
"2","What was used to spot the ship?","[]","2. What was used to spot the ship?"
"3","When did the Titanic sink?","[]","3.  When did the Titanic sink?"
"4","Where was the ship found?","[]","4.  Where was the ship found?"
"5","Why is the location of the ship a secret?","[]","5. Why is the location of the ship a secret?"
"1","Who has won seven gold medals?","[]","1. Who has won seven gold medals?"
"2","What other big event did the United States win?","['<ENAMEX TYPE=""LOCATION"">United States</ENAMEX>']","2. What other big event did the <ENAMEX TYPE=""LOCATION"">United States</ENAMEX> win?"
"3","When was the last time the United States won the gold medal in a marathon?","['<ENAMEX TYPE=""LOCATION"">United States</ENAMEX>']","3. When was the last time the <ENAMEX TYPE=""LOCATION"">United States</ENAMEX> won the gold medal in a marathon?"
"4","Where were these Olympic games held?","[]","4. Where were these Olympic games held?"
"5","Why is the United States disappointed?","['<ENAMEX TYPE=""LOCATION"">United States</ENAMEX>']","5. Why is the <ENAMEX TYPE=""LOCATION"">United States</ENAMEX> disappointed?"
"1","Who gave 6,457 books to the new library?","[]","1. Who gave 6,457 books to the new library?"
"2","What is the name of our national library?","[]","2. What is the name of our national library?"
"3","When did this library burn down?","[]","3. When did this library burn down?"
"4","Where can this library be found?","[]","4. Where can this library be found?"
"5","Why were some early people called ""men of the written tablets""?","[]","5. Why were some early people called ""men of the written tablets""?"
"1","Who is a deaf and blind student who finished college?","[]","1. Who is a deaf and blind student who finished college?"
"2","What is the name of her special friend?","[]","2.  What is the name of her special friend?"
"3","When did Helen lose her sight and hearing?","['<ENAMEX TYPE=""PERSON"">Helen</ENAMEX>']","3.  When did <ENAMEX TYPE=""PERSON"">Helen</ENAMEX> lose her sight and hearing?"
"4","Where did Helen go to college?","['<ENAMEX TYPE=""PERSON"">Helen</ENAMEX>']","4. Where did <ENAMEX TYPE=""PERSON"">Helen</ENAMEX> go to college?"
"5","Why is Helen able to understand her teachers?","['<ENAMEX TYPE=""PERSON"">Helen</ENAMEX>']","5. Why is <ENAMEX TYPE=""PERSON"">Helen</ENAMEX> able to understand her teachers?"
"1","Who displayed a new flag design?","[]","1. Who displayed a new flag design?"
"2","What is the 50th state?","[]","2. What is the 50th state?"
